programa,num,titulo,convidado,status,link
Anima,61,Você sabe que existe uma Orquestra Católica no Rio?,Maestro Carlos Pimenta,,https://youtu.be/LFxNM_5H2Io
Anima,62,Como rezar para a conversão de alguém?,Diácono Romulo Canuto,,https://youtu.be/t2IYNW5O618
Anima,63,Decifrando os casais,Padre Julinho,,https://youtu.be/kinKtjQNKBM
Anima,65,Você sabia desse título de Nossa Senhora?,Simone Marquetto,,https://youtu.be/TGPNTBS7eq4
Anima,66,Círio de Nazaré. O que você sabe dessa grande festa?,Monsenhor Agostinho,,https://youtu.be/i4pWLI89PuE
Anima,67,Rito Romano antigo. Entenda a diferença,Dom Fernando Rifan,,https://youtu.be/ZuheHFdttO0
Anima,68,Como ler e entender a Bíblia?,Victor Sales Pinheiro,,https://youtu.be/J28wiVi-XDE
Anima,69,Purgatório existe? O que os anjos fazem?,Loo Burnett,,https://youtu.be/EDa1EvrCpPE
Anima,70,Os melhores estímulos para nossas crianças,Thiago Castro,,https://youtu.be/DN_3OfaLXtg
Anima,71,Por que uma investidora largou a cidade e foi morar no campo?,Lygia Pimentel,,https://youtu.be/v4TblZue1m0
Anima,72,Como não ser uma presa fácil?,Jeciandro Pessoa,,https://youtu.be/OgtVp7s7VCU
Anima,73,"Escapulário verde, pra que serve?",Rafael Diniz Abrantes,,https://youtu.be/9cb-3CW_TtU
Anima,74,Você é ocupado ou produtivo?,Dr. Henrique Cal,,https://youtu.be/piNojRqvWqI
Anima,75,"Estudando para ser pastor, decidi voltar à Igreja Católica",Igor Pires do Nascimento,,https://youtu.be/pn69WRZeYYI
Anima,76,Por que rezar faz bem ao coração?,Rodrigo Reis,,https://youtu.be/KiPQjtRV67E
Anima,77,Ex-gay existe?,Omar de Matos,,https://youtu.be/soBQeH1LkHU
Anima,78,Como deseducar seu filho,João Malheiro,,https://youtu.be/MfyZcn1ngzk
Anima,79,"Afinal, quem foi Maria Madalena?",João Carlos Nara,,https://youtu.be/cGQ4xsrLFHw
Anima,80,"Não é problema de vocação, é preguiça!",Diego Reis,,https://youtu.be/W0fq6E8a-Mo
Anima,81,Quaresma. O que devo fazer?,Pe. Renato Britto,,https://youtu.be/CvSZ7hpbWj0
Anima,82,Você precisa de remédio pra dormir?,Dr. Gleison Guimarães,,https://youtu.be/nZCs5lDt6p0
Anima,83,Milagres que a ciência não explica,Dr. João Marcos,,https://youtu.be/xNsmEWSAfdY
Anima,84,Nossa Senhora de Lourdes e a água milagrosa,Cônego Valtemario Frazão,,https://youtu.be/KPXTI1IWSxU
Anima,85,"São José, terror dos demônios",Padre Alexandre Pinheiro,,https://youtu.be/Gn-fUJgt2fQ
Anima,86,Santo de calça jeans e tênis?,Padre Fábio Vieira,,https://youtu.be/dDvJ6TBgfDU
Anima,87,Ped0fili4 - Aprender para se defender!,Maura de Oliveira,,https://youtu.be/Ykm45agBtao
Anima,88,Católico sem Semana Santa?,Padre Jorge Carreira,,https://youtu.be/VBYLNVwCl50
Anima,89,Arqueologia bíblica. O que é?,Padre Bessa,,https://youtu.be/6Fut6TjylMM
Anima,90,Santo é tudo igual?,Matheus Bazzo,,https://youtu.be/lCTdH9asYXg
Anima,91,Como ler a Bíblia?,Carlos Magliano,,https://youtu.be/CSX0ojfWv5k
Anima,92,Como sofrer com alegria?,Pe. Márlon Múcio,,https://youtu.be/2IYNs1LFWsQ
Anima,93,O Milagre de Guadalupe,Angela Morais,,https://youtu.be/zttGkI0ZC1I
Anima,94,A religião mudou a forma como vejo a medicina!,Vanessa Wink,,https://youtu.be/jgxX--y5VBI
Anima,95,Como a Fé resiste num dos lugares mais intolerantes do mundo?,Dom Laurent Dabiré,,https://youtu.be/MgTJK0T4TQ8
Anima,96,Com que idade começo a falar de Deus com as crianças?,Rachel Lemos,,https://youtu.be/IVnz_y3mAGo
Anima,97,Como enfrentar a morte com fé?,Rafaelly Faitanin,,https://youtu.be/I2sq8n7z3o8
