programa,num,titulo,convidado,status,link
Anima Podcast,85,"São José, terror dos demônios",Padre Alexandre Pinheiro,,https://youtu.be/Gn-fUJgt2fQ
Anima Podcast,86,Santo de calça jeans e tênis?,Padre Fábio Vieira,,https://youtu.be/dDvJ6TBgfDU
Anima Podcast,87,Ped0fili4 - Aprender para se defender!,Maura de Oliveira,,https://youtu.be/Ykm45agBtao
Anima Podcast,88,Católico sem Semana Santa?,Padre Jorge Carreira,,https://youtu.be/VBYLNVwCl50
Anima Podcast,89,Arqueologia bíblica. O que é?,Padre Bessa,,https://youtu.be/6Fut6TjylMM
Anima Podcast,90,Santo é tudo igual?,Matheus Bazzo,,https://youtu.be/lCTdH9asYXg
Anima Podcast,91,Como ler a Bíblia?,Carlos Magliano,,https://youtu.be/CSX0ojfWv5k
Anima Podcast,92,Como sofrer com alegria?,Pe. Márlon Múcio,,https://youtu.be/2IYNs1LFWsQ
Anima Podcast,93,O Milagre de Guadalupe,Angela Morais,,https://youtu.be/zttGkI0ZC1I
Anima Podcast,94,A religião mudou a forma como vejo a medicina!,Vanessa Wink,,https://youtu.be/jgxX--y5VBI
Anima Podcast,95,Como a Fé resiste num dos lugares mais intolerantes do mundo?,Dom Laurent Dabiré,,https://youtu.be/MgTJK0T4TQ8
Anima Podcast,96,Com que idade começo a falar de Deus com as crianças?,Rachel Lemos,,https://youtu.be/IVnz_y3mAGo
Anima Podcast,97,Como enfrentar a morte com fé?,Rafaelly Faitanin,,https://youtu.be/I2sq8n7z3o8
Anima Podcast,98,⁠Nós nunca tínhamos ido a uma Missa antes!,Wendell Carvalho e Karina Peloi,,https://youtu.be/1ORWr2a5tVE
Anima Podcast,99,O caminho para crescer em Santidade!,Pe. Leonardo Wagner,,https://youtu.be/hjkEzz_WvoM
Anima Podcast,101,Desafios e alegrias de uma família numerosa!,Mari e Carlos Arasaki,,https://youtu.be/r2Yuq0UQgGI
Anima Podcast,102,Precisamos rebater esse ataque à Igreja!,Bernardo Küster,,https://youtu.be/i8jYGISpLs0
Anima Podcast,103,Esse é o caminho para ser um Cristão alegre!,Ana Luisa Rabelo,,https://youtu.be/5y2T-0ikRz4
Anima Podcast,104,Foi por isso que ele decidiu ser padre!,Dom Devair,,https://youtu.be/5li_HqCuHlI
Anima Podcast,105,"Céu, inferno e purgatório: o que disse Bento XVI?",Padre Renato Andrade,,https://youtu.be/_L-fC5pggAQ
Anima Podcast,106,Tudo que mulheres precisam saber antes de casar!,Silvana Blanc,,https://youtu.be/OAQ1mMg-zh8
Anima Podcast,107,Mestre em Teologia explica Santa Teresa D`Avila,Larissa Menegatti,,https://youtu.be/s1QCAWog3W0
Anima Podcast,108,Como foi o processo de conversão dele?,Alexandre Crof,,https://youtu.be/KytQXrGykMY
Anima Podcast,109,O caminho para se tornar uma mulher virtuosa,Juliana Rachid,,https://youtu.be/PRU8p_BXijY
Anima Podcast,110,Como deixar Deus agir (da forma certa) na sua vida?,Andressa Ducosta,,https://youtu.be/3Cgpdf8cpa8
Anima Podcast,111,O caminho para ser família em Deus!,Paula Lellis,,https://youtu.be/8yf04KMWdG0
Anima Podcast,112,Tudo sobre a Santa Missa - Parte 1,Padre Balbino,,https://youtu.be/yBMK6j5Kc9g
Anima Podcast,113,Aborto ou assassinato? Entenda a PL 1904!,Marlon Derosa,,https://youtu.be/oTzIMbUhJHA
Anima Podcast,114,Psicologia e espiritualidade combinam?,Gislene Isquierdo,,https://youtu.be/sncIlyqyuz0
Anima Podcast,121,O Frei que toca almas através da música,Frei Gilson,,https://youtu.be/uVMNcNU_lMA
Anima Podcast,123,"Podcast dos Homens: casamento, paternidade, família e saúde",,,https://youtu.be/BU3TzGp989E
Anima Podcast,174,O Rosário que movimenta multidões,Instituto Hesed,,https://youtu.be/1ZJMDd2RdF8
Anima Podcast,182,Melhores Momentos:Musical,,,https://youtu.be/_XLN39QnGvU
Anima Podcast,188,"Melhores momentos: Samia Masili, Ítalo Masili e João Menna",,,https://youtu.be/C01kyuMPoxw
Anima Podcast,285,A entrevista que a mídia não quer que você veja!,Berthaldo e convidados!,,https://youtu.be/eL1mR5kQ_RY
Anima Podcast,291,Deus tem um plano de vida para você!,Pedro Siqueira!,,https://youtu.be/Dr2QbOlAhnM
Anima Podcast,308,Futura santa brasileira? Conheça a história de Duda Nogueira,Octacilia Nogueira,,https://youtu.be/cvqtlsDDZhw
Anima Podcast,319,"Fé, família, escola e trabalho: o método do Grupo Hirota",Francisco Hirota,,https://youtu.be/WQeHcBRb-H0
Anima Podcast,320,Mais de 20 impostos em 4 anos: a ex-presidente da Caixa faz a conta,Daniella Marques,,https://youtu.be/E0anEGn2dEM
Anima Podcast,321,"No Rio, a tornozeleira do agressor de mulher vai ser rosa",Fred Pacheco,estreia agendada,https://youtu.be/EDbNwDW-JQc
Anima Podcast,322,Uma alma alimentada tem menos fome,Dr. Bruno Montese,estreia agendada,https://youtu.be/VK0PYFNvni8
Anima Podcast,323,A rosa que ela pediu a Santa Teresinha chegou pelo WhatsApp,Lara Morais Nogueira,estreia agendada,https://youtu.be/z-ZQ8Q-pIZ0
Anima Podcast,324,O que aparece nos olhos de Nossa Senhora de Guadalupe?,Denise Coelho,estreia agendada,https://youtu.be/A6dD8v-_3Dg
Anima Saúde,4,TDAH da infância à vida adulta,Dr. Raphael Rangel,,https://youtu.be/DjPJYJFkepc
Anima Saúde,115,O Lado Oculto da FIV: O que não te contam,Dra. Melissa Abelha,,https://youtu.be/9AA2fxfLBGE
Anima Saúde,116,A importância do cuidado ginecológico na adolescência,Dra. Marcela Pires,,https://youtu.be/l32WAobgbWg
Anima Saúde,117,Qual é o segundo lugar da face onde mais aparece câncer de pele?,Dr. Marcelo Cury,,https://youtu.be/Xmh2EVB9oP4
Anima Saúde,117,"Compulsão alimentar, anorexia e canetas: quando comer vira sintoma",Dr. Higor Caldato,,https://youtu.be/r8uUqrJuadM
Anima Saúde,119,Câncer de intestino na família: quando fazer a colonoscopia?,Dr. Guilherme Ravanini,,https://youtu.be/lANEQAW78Dc
Anima Saúde,120,A solidão mata tanto quanto 15 cigarros por dia,Dr. Lucas Lameirão,,https://youtu.be/i8PDDdjwhWE
Anima Saúde,121,Cosmético coreano funciona mesmo na pele da brasileira?,Dra. Mariana Del Rei,,https://youtu.be/-_P_hMFbd9g
Anima Especial,1,O que você precisa saber sobre DISLEXIA,Felipe Ponce,,https://youtu.be/9bxF4_8Qyr8
Anima Especial,2,"Autismo Nível 2, Maternidade e Superação",Fernanda Fialho,,https://youtu.be/GNYYeyXQLSA
Anima Especial,3,Como diminuir os riscos de AUTISMO no bebê,Renata Lopes,,https://youtu.be/BSlG-O-ohZ8
Anima Especial,6,AUTISMO após os 18 anos,"Aline Kabarite, Ana Paula Pacheco e Guilherme Montenegro",,https://youtu.be/wlgw6ZUT8oY
Anima com Você,1,Único caminho para restaurar o casamento,Kenya e Berthaldo,,https://youtu.be/E47rw-YonOg
Anima com Você,2,O que fazer quando o marido não muda?,Kenya e Berthaldo,,https://youtu.be/CmF8LQUVByo
Anima com Você,3,Mãe de seis filhos: é pecado evitar o sétimo?,Kenya e Berthaldo,,https://youtu.be/HFFwrG41Hz8
Anima com Você,4,Suzana é devota de quatro santos e falta à missa,Kenya e Berthaldo,,https://youtu.be/BRW1Yj9faGQ
