Programa;Episódio;Título;Convidado;YouTube;Canva (edição);Página Canva;Drive (ver);Drive (download);Download direto (PNG);Arquivo
Anima Podcast;#155;A fé que move multidões;Aline Brasil;https://youtu.be/SR6hK-glRMY;https://www.canva.com/design/DAHT5YkS6QU/edit?page=23;23;https://drive.google.com/file/d/1p2iTrqvQsZDGO4Vb1Ay3o6pjzgOue8b9/view;https://drive.google.com/uc?export=download&id=1p2iTrqvQsZDGO4Vb1Ay3o6pjzgOue8b9;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23155%20-%20Aline%20Brasil.png;#155 - Aline Brasil.png
Anima Podcast;#156;Como se preparar para o casamento;André e Karina Parreira;https://youtu.be/sfEqVOROzH4;https://www.canva.com/design/DAHT5NdLe6g/edit?page=9;9;https://drive.google.com/file/d/1C-6DHHi2v99onS01-Urnv7hWwXUdJlHt/view;https://drive.google.com/uc?export=download&id=1C-6DHHi2v99onS01-Urnv7hWwXUdJlHt;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23156%20-%20Andr%C3%A9%20e%20Karina%20Parreira.png;#156 - André e Karina Parreira.png
Anima Podcast;#157;O que não te contaram sobre finanças;Matheus Machado;https://youtu.be/cFg7fO0oFHY;https://www.canva.com/design/DAHT5NdLe6g/edit?page=3;3;https://drive.google.com/file/d/1H1U3d0NhFNhMTU0xzKJeEnIXxwSdrQVV/view;https://drive.google.com/uc?export=download&id=1H1U3d0NhFNhMTU0xzKJeEnIXxwSdrQVV;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23157%20-%20Matheus%20Machado.png;#157 - Matheus Machado.png
Anima Podcast;#158;Católico pode ser supersticioso?;Flávio Andrade;https://youtu.be/5GxfNVGbecg;https://www.canva.com/design/DAHT5YkS6QU/edit?page=22;22;https://drive.google.com/file/d/1vEaMPBdi7eFSjdy-dStkb7DzGgx9XMTO/view;https://drive.google.com/uc?export=download&id=1vEaMPBdi7eFSjdy-dStkb7DzGgx9XMTO;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23158%20-%20Fl%C3%A1vio%20Andrade.png;#158 - Flávio Andrade.png
Anima Podcast;#159;Das redes de vôlei para as redes de pesca;Amábile Koester;https://youtu.be/gDOiBDbxqQU;https://www.canva.com/design/DAHT5YkS6QU/edit?page=21;21;https://drive.google.com/file/d/1r9_92Kq0fkNCMwhse3LTNfycWWpY-hYj/view;https://drive.google.com/uc?export=download&id=1r9_92Kq0fkNCMwhse3LTNfycWWpY-hYj;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23159%20-%20Am%C3%A1bile%20Koester.png;#159 - Amábile Koester.png
Anima Podcast;#160;Meu pai morreu 3 vezes;João Brother;https://youtu.be/yEQIFbbu76Y;https://www.canva.com/design/DAHT5YkS6QU/edit?page=20;20;https://drive.google.com/file/d/1-HYtU1B4FnLtDJCRAaN0-Kik8aY5RuUd/view;https://drive.google.com/uc?export=download&id=1-HYtU1B4FnLtDJCRAaN0-Kik8aY5RuUd;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23160%20-%20Jo%C3%A3o%20Brother.png;#160 - João Brother.png
Anima Podcast;#161;Querer é poder?;José Neto;https://youtu.be/THWzAIX7JDo;https://www.canva.com/design/DAHT5YkS6QU/edit?page=19;19;https://drive.google.com/file/d/15ra1_hgNMFnL52zAjYSYBSQtnrizKJLe/view;https://drive.google.com/uc?export=download&id=15ra1_hgNMFnL52zAjYSYBSQtnrizKJLe;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23161%20-%20Jos%C3%A9%20Neto.png;#161 - José Neto.png
Anima Podcast;#162;O que houve com Noé e o dilúvio;Edmilson Cruz;https://youtu.be/FxsWVO9Ev0I;https://www.canva.com/design/DAHT5YkS6QU/edit?page=18;18;https://drive.google.com/file/d/1sO8HewFG096olman0ypmBIefiih7jSBm/view;https://drive.google.com/uc?export=download&id=1sO8HewFG096olman0ypmBIefiih7jSBm;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23162%20-%20Edmilson%20Cruz.png;#162 - Edmilson Cruz.png
Anima Podcast;#163;O verdadeiro significado do Natal;Rafael Brito;https://youtu.be/JpV4Hbv6BBU;https://www.canva.com/design/DAHT5YkS6QU/edit?page=33;33;https://drive.google.com/file/d/1lg7qT48SnRvmRG0pDreK60XsPw4uW6fE/view;https://drive.google.com/uc?export=download&id=1lg7qT48SnRvmRG0pDreK60XsPw4uW6fE;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23163%20-%20Rafael%20Brito.png;#163 - Rafael Brito.png
Anima Podcast;#164;Melhores momentos de 2024;Diogo e Vanessa;https://youtu.be/Kf5qRt_jKd0;https://www.canva.com/design/DAHT5IrBs84/edit?page=2;2;https://drive.google.com/file/d/1k-w-wTDpn0hiGsAzm37SXnK46dmNKKug/view;https://drive.google.com/uc?export=download&id=1k-w-wTDpn0hiGsAzm37SXnK46dmNKKug;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%23164%20-%20Diogo%20e%20Vanessa.png;#164 - Diogo e Vanessa.png
